biotipológico	tipológico
macaquear	repetir
resseção	separação
preguiçar	tunar
sobrelotação	superlotação
enunciável	exprimível
intermear-se	mesclar-se
dentista	odontologista
cansável	fatigável
aramar	alambrar
aquilatar	julgar
cirandar	outar
engrandecer	qualificar
lâmina	tabla
butuca	espora
juvenescimento	rejuvenescimento
unhudo	unhoso
contranatural	contranaturo
engelhamento	enrugamento
escrituração	contabilização
abusão	engano
concoidal	concóide
comercial	publicidade
cupressíneo	cupressino
arrepsia	indecisão
universalizador	generalizador
estercorário	esterqueiro
cachimbear	pitar
revolvimento	revolução
união	unidade
eternar	eternizar
camparesco	rústico
dormitar	toscanejar
desatravancamento	desimpedimento
cacimba	poço
testemunhar-se	transluzir-se
desgrenhar	enredar
delapidar	entornar
gargaleira	batoque
veação	monteada
desembocadura	embocadura
fímbria	orladura
extirpar-se	desarraigar-se
semipútrido	semiputrefato
substituto	suplente
quilatar	tomar
arregimentar	mobilizar
interventor	interveniente
nevoso	nevado
aporreado	espancado
noutrora	outrora
senhora	proprietária
engrumescer	grumecer
contra-aviso	contra-ordem
lacrimante	lacrimoso
pergaminhado	pergaminhoso
parágrafo	inciso
palmeta	palmilha
arbustivo	arbústeo
capadeiro	capador
zambê	coco
modernar	rejuvenescer
romãzeiral	romeiral
amimado	mimado
cabido	pertinente
suco	sumo
carteira	escrivaninha
prognosticar	supor
repastar-se	saborear-se
píer	embarcadoiro
deliberativo	deliberatório
mumificador	mumificante
monitoração	monitorização
açúcar	suavidade
sarandalhas	varredura
desencortiçar	despregar
aleive	refalsamento
empreender	resolver-se
conter	reportar
afastado	retirado
derrotismo	pessimismo
acachapar	subterrar
fracassar	malograr
acirrar	pruir
desnu	desnudo
oprimente	opressivo
uniforme	unímodo
fasto	próspero
acentuado	saliente
enrabichar	entalar
calandrar	cilindrar
caduquice	decrepitude
abjurgador	abjurgante
precatar-se	precautelar-se
caveira	crânio
lástima	pena
medroso	timorato
juridicidade	legalidade
nazismo	hitlerismo
maridal	matrimonial
euforia	júbilo
fortuna	graça
dactilioglífico	datilioglífico
avio	preparativo
bem-querer	estimar
incidente	sobreveniente
manequim	modelo
vivaz	vivedor
reestruturar	reorganizar
subumano	violento
obnubilar	ofuscar
sabão	zargunchada
expressional	significativo
prontamente	pronto
desenterrar	evidenciar
atordoador	atordoante
infernizado	infernado
anatematizar	eliminar
censurar	estranhar
arroxeado	roxeado
dobre	hipócrita
baeco	batoré
tijolar	atijolar
arrasta	arrasta-pé
voltar	volver
cárcere	masmorra
inconstância	variedade
móbile	móvel
deflegmador	desflegmador
folder	folheto
adolo	rapapé
salificável	salinável
saludador	rezador
expetoração	esputo
terraplenagem	terrapleno
notabilização	imortalização
lamaçal	poceirão
esboroar-se	esfarinhar-se
excepcionalmente	extraordinariamente
suavizado	aplacado
cineasta	cinegrafista
conseguinte	imediato
fintar-se	tributar-se
escarradura	escarro
penedio	penedal
declamar	reclamar
esparregado	espermegado
molambento	pelintra
desmunir	desmunicionar
defloramento	desvirginamento
pérgola	pérgula
institor	preposto
incoativo	inicial
pacuera	fressura
acabrunhamento	vexame
alcaiota	enredadeira
axípeto	centrípeto
enaltar	levantar
renegado	desadorado
molhar-se	orvalhar-se
excessivismo	redundância
expert	experto
rasourante	rasoirante
desparecer	ruir
percorrido	trilhado
regente	reitor
reenvidar	revidar
afregulhado	apressado
pecuário	pecuarista
malquistar-se	desentender-se
rúbeo	rubro
desanular	desneutralizar
aldeota	real
vidrino	vidroso
africanólogo	africanologista
detenção	retenção
desalentar	desanimar
estirar-se	repuxar-se
infortúnio	malogro
enlojar	enlouçar
faculdade	vantagem
detersivo	detersório
realçar-se	salientar-se
instrumento	utensílio
casamenteiro	marital
noitecer	noutecer
antecedente	anterior
mascarado	encaretado
comburido	queimado
resfriar-se	esfriar-se
descuidar-se	desprevenir-se
decapitação	decepamento
encoscorar-se	refegar-se
efeminado	enerve
variar	variegar
desambição	devotamento
esvanecer	pavonear
atear-se	inflamar-se
varejo	varejamento
tronejar	governar
espaguete	macarronete
arnês	arreio
alguergue	ladrilho
fragrante	odorífico
endrômina	treta
subimento	subida
funiforme	funicular
insurgir-se	sublevar-se
espirituoso	facecioso
azerar	robustecer
fosforejar	fosforear
prostibulário	alcouceiro
contigüidade	vizinhança
praguejar	maldizer
deliberar	tratar
lourecer	lourejar
abespinhamento	aborrecimento
esverdear	esverdinhar
acurvado	alombado
indivisamente	unanimemente
principescamente	regiamente
subseção	subsecção
percal	percale
timbale	atabale
concionar	discursar
abril	juvenilidade
controvertido	discutido
escâncaro	escancarado
vergôntea	hástea
chapéu-de-sol	sombrinha
bissulcado	bissulco
consociar-se	reunir-se
encantado	enlevado
encobertar	tapar
inadmissível	incabível
subcutâneo	hipodérmico
entremetimento	intercalação
impropriamente	inconvenientemente
cupuliforme	cupular
bofejar	golfejar
destampar	destapar
abrolhar	grelar
estorricar	torrar
escornichar	marrar
esquadrilhar	tundar
inclusive	inclusivamente
laborativo	laboral
necromancia	nigromancia
pactário	pactuante
miscigenar-se	mestiçar-se
previsto	vaticinado
invejoso	ínvido
definhar	mirrar
corrosividade	causticidade
alvejador	alvejante
incongruidade	incoerência
concepção	formulação
inchar	pavonear
perceptibilidade	visibilidade
beleza	diva
abolir	esfazer
reboco	revestimento
medrar	pular
brancacento	brancaço
desmesurar	desmedir
entremeter	intermediar
tumefacto	tumefeito
entrevisão	relance
faroeste	western
paziguar-se	sossegar-se
reivindicativo	reivindicatório
arquivista	papelista
acostumado	aquilotado
altiplano	platô
escoriado	esfrolado
desempanar	desofuscar
cineamador	cinediletante
ambivalência	contrariedade
quitandeira	regateira
decorrente	resultante
desofuscar	desenfuscar
aplicação	uso
amaricado	aqualirado
eqüiparente	equivalente
quesível	reclamável
azoado	baralhado
dissimilatório	dissimilativo
descostar	desencostar
jerárquico	hierárquico
envermelhecer-se	avermelhar-se
avexação	pejamento
ementário	registro
desvirilizado	emasculado
incessantemente	sempre
profícuo	proveitoso
diastático	diastásico
trapezóide	trapezoidal
afiambrar	galanear
fresco	recente
madescente	úmido
lunático	biruta
esvaescente	evanescente
mortal	perecedouro
esganiçar-se	ladrar
empanar-se	ofuscar-se
xaguão	vestíbulo
sextavado	hexagonal
esguicho	espirro
fundador	instituidor
avaria	estrago
carteio	correspondência
indecentemente	honestamente
cismarento	penseroso
bloqueio	trava
ventilante	ventilador
patuscar	pintar
encapsulado	capsular
quicar	saltar
distanciado	espaçado
adestramento	treinamento
publicação	vulgarização
nucleal	nuclear
sublocar	subalugar
livresco	livreiro
estrelário	asteróide
serreta	serrilha
escabecear	tontear
legitimidade	lidimidade
meditabundo	meditativo
trilhadura	trilhamento
degeneração	podridão
desobstruente	desobstruinte
enchimento	entroixo
sublimidade	superioridade
proscrito	refugiado
arreliento	pendenciador
travo	fel
tabique	taipa
castear	reproduzir-se
ramo	subdivisão
reparo	socorro
encovardar	intimidar
centenar	secular
retificação	remendo
porco	sujo
deformar	desfigurar
tabaqueira	boceta
desenganar	despersuadir
perscrutável	escrutável
avermelhado	vermelhusco
docilíssimo	docílimo
mesinha-de-cabeceira	criado-mudo
declaratório	declarativo
borbulhão	jorro
infamante	oprobrioso
cachorrismo	cafajestismo
abaruna	padre
escrivaninha	secretária
arrebentação	dilaceração
fogoso	impetuoso
atassalhar	retalhar
despendurar	descolgar
mussitar	soprar
desapontado	desencantado
envilecer-se	pandilhar-se
cientificar	comunicar
multissecular	plurissecular
difundir-se	disseminar-se
apreendedor	apreensor
grosseiramente	rudemente
espontâneo	nativo
racionabilidade	racionalidade
fartum	ranço
juboso	jubado
indistintamente	alto-e-malo
sobranceiro	cavaleiro
leiva	torrão
palmeado	palmilhado
candidatar	habilitar
desgelador	degelador
remissão	retardamento
esfolhar	exterminar
diáfano	pelúcido
encarochar	mandingar
assalvado	infundibuliforme
proveito	rédito
elucidado	explicado
remorder-se	reprurir-se
crispar	dobrar
devastador	roaz
sáfaro	estéril
tabernal	tavernário
afrouxamento	alquebramento
biango	casebre
tutriz	tutora
propagação	sementeira
sementeiro	semeador
adiantamento	irreflexão
folhado	folhagem
talento	vocação
repisar	sanfoninar
feraz	produtivo
acarradoiro	acarradouro
trabelho	trambelho
homosexualismo	pederastia
heurístico	eurístico
intermitência	parada
desenredado	esclarecido
enrijar	revigorar
continuar-se	encompridar-se
imediatamente	já
humilhador	humilhante
irrupção	surto
atacado	entulhado
envergonhar	vexar
diluir-se	resolver-se
pratalhão	pratalhaz
calhambeque	maxambomba
baldear	golfejar
fragal	penhascoso
ferroada	picada
zinga	ginga
auferir	ter
chué	reles
malversador	malversor
deslinde	limitação
animadversão	ripada
cavalheiroso	gentil
agenciador	laborioso
desenrolado	estendido
purgado	purificado
alevosia	hipocrisia
vitaminizar	vitaminar
ladainha	lengalenga
transcender	transpassar
pomposidade	sumptuosidade
horizonte	perspectiva
malparar	aventurar
later	saltar
barguilha	braguilha
modificante	modificativo
abajoujado	hebetizado
lenimento	lenitivo
curioso	intrometido
escacar	estilhar
acoimamento	penalidade
hibernar	invernar
pseudônimo	onomatópose
guampa	haste
alíquota	percentualidade
imputação	responsabilização
justaposição	sobreposição
decodificar	traduzir
amarrotar-se	amassar
estultificar	materializar
batizar	chamar
contaminado	infetado
cheia	undação
foguete	rojão
regirar	remoinhar
argileira	barreiro
tronchar	truncar
tesselário	mosaísta
fortalecer-se	renovar-se
amergulhar	lançar-se
naufragar	soçobrar
concitar-se	eletrizar-se
chavear	fechar
constatar	deslindar
retardado	adiado
aloucamento	entontecimento
corruptibilidade	impiedade
incêndio	fogo
levado	traquina
xenófobo	xenofóbico
riscar-se	sair
hibernoso	invernoso
jactante	loroteiro
adoutrinar	explicar
cacetada	cachamorrada
cava	cavaco
remoela	trote
espreguiçar	desadormecer
maldizente	malédico
perpetuador	eternizador
acariciador	amimador
perecer	sucumbir
emelar	melar
afastar-se	alhear-se
lagrimação	pranto
graduação	graduamento
averbamento	nota
trâmite	trilha
presentear	regalar
conjuntura	encontro
reverenciador	mesurado
dislético	disléxico
perfumadeiro	perfumante
reutilização	reaproveitamento
conservante	conservador
entontecimento	aloucamento
desregrar-se	desmoderar-se
tramelar	taramelar
devasso	imorigerado
inferido	educto
conubial	marital
passajar	passagear
trasvasar	versar
secadouro	secadoiro
aboletar-se	agasalhar-se
rampa	talude
embabadar-se	enrugar-se
propensão	veia
iníquo	injusto
desenvasar	desatolar
lampadário	lustre
progenitura	sóbole
hidraéreo	hidroaéreo
maldito	triste
música	som
infactível	inviável
bateiar	batear
diferençado	distinguido
desaromar	desaromatizar
entoar	soar
barrento	barroso
premiador	recompensador
acomodar	arrumar
transtornar	travessar
memoração	recordação
inibir-se	retrair-se
desfavorecer	renegar
taquigrafar	estenografar
enfraquecedor	elanguescente
recobrir	resguardar
benzido	bento
maioral	paredro
memorando	memoroso
flato	flatulência
cuidados	trabalhos
abarcador	monopolista
vagarosamente	morosamente
terraplanagem	terraplenagem
direcionar-se	encaminhar-se
impudor	indecência
garavanço	garfo
aleitar	amamentar
especiaria	espécie
encarapitar	encarrapitar
pré-diluviano	antediluviano
busca	vistoria
corrosivo	mordaz
entrecruzar	intermisturar
retalho	tira
preceder	exceder
tartamudeio	tartamudez
asfixia	sufocação
filmador	cinegrafista
abóbora	jerimum
repreendedor	repreensor
relampadear	relampadejar
namorador	renteador
imunizador	imunizante
aviltador	degradante
travessar	vazar
estimação	valia
pérvio	transitável
mútilo	seccionado
abrutalhar	bestializar
abóbada	cúpula
moderadamente	prudentemente
casita	casucha
forrobodó	gafieira
nuper-falecido	recém-finado
lacre	selo
cadastramento	registro
desesperado	desesperançado
nomeação	provimento
efemeridade	transitoriedade
questionador	discutidor
acentuar	pronunciar
desentonado	envilecido
trinchar	fatiar
flexibilidade	maleabilidade
espiadela	olhadela
inaccessível	inacessível
louvaminheiro	xereta
bacteriano	bactérico
gabela	gavela
acouçar	destratar
loirecente	lourecente
deplorável	ominoso
aceleratório	acelerativo
celulífero	celuloso
congratular-se	folgar
fileira	renque
nevar-se	grisalhar-se
escarolado	trilhado
civilidade	trato
foito	resoluto
equilibrado	sensato
absceder	supurar
notabulismo	sonambulismo
indivisível	irrepartível
babelesco	babélico
desperfilamento	desalinhamento
cabível	passável
tartarear	treler
escavacar	estroçar
engalfinhar-se	rolar
anelante	ansioso
esfumaçar	esfumar
carência	míngua
enuviar	sombrejar
ventilado	soado
bem-soante	harmônico
residente	morador
desacovardar	desatemorizar
mefítico	pestilencial
transmutação	transmudação
digerido	entendido
tronchado	tronco
demanda	discussão
apagamento	expunção
aboiado	aboio
humanizado	humanado
resultado	resultância
liça	lice
pegajoso	tenaz
agencioso	ativo
fragueiro	veemente
remitir	suavizar
visibilidade	nitidez
mato	roça
chaga	ferida
novel	novo
unhoso	unhudo
minorar-se	suavizar-se
pressuroso	sobrecarregado
vaporação	vaporização
guião	pendão
agrupar	integralizar
iluminativo	instrutivo
ávido	esganado
flabeliforme	flabelado
tabatinga	tauatinga
encobridor	receptor
garotear	garrotear
saudação	saúde
saracoteio	saracoteamento
pontarelo	pontareco
despenho	lançamento
estelífero	estrelado
metrificação	versificação
estultificação	bestialização
desenfrenar-se	espinhar-se
contraveniente	contraventor
chovedio	pluviátil
açambarcar	atravessar
meridiano	merídio
gentilidade	paganismo
arrastar	pregar
vilanaço	vilanaz
seguido	sucessivo
submetido	sujeito
enaltecedor	engrandecedor
adoçar	aligeirar
palreiro	tagarela
milagroso	tremendo
resquício	vestígio
rabear	vanguejar
regurgitar	rejeitar
gama	quantidade
vitrola	eletrola
meliorativo	melhorativo
cafua	cafurna
emboscada	ratoeira
compenetração	recolhimento
berreiro	grita
esternutação	espirro
encanzinar	encanzoar
amealhar	economizar
comprazer-se	regozijar-se
irrompimento	irrupção
despovoamento	despovoação
afroixamento	afrouxamento
súcia	manada
acossamento	encalço
anilar	azulejar
moital	moitedo
incompressibilidade	dilatabilidade
valimento	valor
intelectualmente	mentalmente
babadoiro	babeiro
ermitã	ermitoa
dramatização	encenação
rever	transverberar
azorragada	lamborada
despundonorado	despundonoroso
caramboleiro	cuvilheiro
estocar	ferir
deusa	divindade
tortueiral	tortual
astrologia	uranoscopia
desnicotinizado	desnicotinado
tumefaciente	tumeficante
sugilar	ulcerar
cretinice	zotismo
dicotomal	dicotômico
nítido	resplandecente
alerdar	alentecer
delator	malsim
bacharelado	bacharelato
certificar	testificar
